# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
🌊港澳,#genre#


无线新闻,http://rihou.cc:555/tv/[Pd]无线新闻
无线新闻,https://cdn6.101.qzz.io/163189/wxxw
无线新闻,http://r.jdshipin.com/CkuBd
无线新闻,http://rihou.cc:555/tv/[Mt]无线新闻
无线新闻,http://74.91.26.218:82/live/inews.m3u8
无线新闻,https://cdn9.163189.xyz/smt3.1.1.php?id=inews_twn
无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
无线新闻,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
无线新闻,http://hls.168.us.kg/u/83/master.m3u8
无线新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbxw
无线新闻,https://stream1.freetv.fun/afb8519f6f276c74e63a0b8ee0454563e51a306ab426f5cff8d31283c9202743.ctv
无线新闻,https://stream1.freetv.fun/ac251cfa2842fa2be9c70e0f852ca810ccfcaada7d0c4a67c41b1b9dd2621412.ctv
无线新闻,P2p://starvod.xyz:19806/557d5098116e4e1f9b14008ed764cc71.ts

Now新闻,https://cdn.163189.xyz/163189/now
Now新闻,https://epg.pw/media/images/epg/2025/01/29/20250129063901847212_30
Now新闻,http://hls.168.us.kg/u/332/master.m3u8
Now新闻,http://rihou.cc:555/tv/[Mt]Now新闻



now财经,http://hls.168.us.kg/u/333/master.m3u8

now直播,http://hls.168.us.kg/u/331/master.m3u8

NOW英超1台,http://109.61.81.147:1935/cdn7/767/mpegts?token=1d8c18a3d377f5418d2501aa54082b60
Now Sports 精選,http://hls.168.us.kg/u/630/master.m3u8
SPOTV,http://iptv.4666888.xyz/iptv2A.php?id=2
SPOTV2,http://iptv.4666888.xyz/iptv2A.php?id=1
astroFootball,http://iptv.4666888.xyz/iptv2A.php?id=4




无线翡翠Pdtv,http://rihou.cc:555/tv/[Pd]无线翡翠
无线翡翠Pdtv,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
无线翡翠,http://hls.168.us.kg/u/81/master.m3u8
无线翡翠,http://r.jdshipin.com/qClQf
无线翡翠,http://r.jdshipin.com/62WM7
无线翡翠,http://r.jdshipin.com/qrfbg
无线翡翠,http://php.jdshipin.com:8880/smt.php?id=jade_twn
无线翡翠,http://hls.168.us.kg/u/81/master.m3u8
无线翡翠,http://74.91.26.218:82/live/jade.m3u8
无线翡翠,https://mytv.cdn.loc.cc/o12.php?id=fct
无线翡翠,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
无线翡翠,https://cdn6.101.qzz.io/163189/fct
无线翡翠,http://rihou.cc:555/tv/[Mt]无线翡翠

[HD]翡翠,https://stream1.freetv.fun/169afe453d043b4888d3e0684163a3c8e7c13738df07bcfa187dcd05223e3891.ctv
[HD]翡翠,https://stream1.freetv.fun/6a3d06a183c9ae13fd13486019634c22879261930dad495c33918937d212cc2d.ctv


